County,State,lat,lng
Pike County, Alabama,41.3361875,-75.06111469999999
Chilton County, Alabama,32.944392,-86.6611083
Colbert County, Alabama,34.7117567,-87.89424509999999
Coosa County, Alabama,32.8897772,-86.2196937
Dale County, Alabama,31.4645298,-85.684578
Hale County, Alabama,34.1064941,-101.8891721
Etowah County, Alabama,34.0455341,-86.05296039999999
DeKalb County, Alabama,33.7956441,-84.2278796
Escambia County, Alabama,30.6389408,-87.3413599
Lamar County, Alabama,33.75694,-95.6457951
Randolph County, Alabama,35.7449531,-79.8296743
Butler County, Alabama,39.440463,-84.5222189
Mobile County, Alabama,30.6082227,-88.24611829999999
Conecuh County, Alabama,31.501571,-86.9824288
Perry County, Alabama,40.371376,-77.2405153
Walker County, Alabama,30.6815394,-95.6457951
Cleburne County, Alabama,35.4605769,-92.0665197
Greene County, Alabama,39.697399,-83.8897057
Barbour County, Alabama,31.8172896,-85.35496499999999
Bibb County, Alabama,32.7865735,-83.7199136
Bullock County, Alabama,32.0573536,-85.7256372
Calhoun County, Alabama,42.2073905,-85.02334599999999
Chambers County, Alabama,29.7524956,-94.6863782
Clarke County, Alabama,33.9519347,-83.357567
Fayette County, Alabama,33.4502206,-84.4802606
Montgomery County, Alabama,39.1547426,-77.2405153
Marshall County, Alabama,34.3652297,-86.3376761
Blount County, Alabama,35.6710541,-83.8473015
Henry County, Alabama,33.4347963,-84.14351359999999
Madison County, Alabama,38.9041402,-89.9253233
Autauga County, Alabama,32.5791817,-86.49965460000001
Tallapoosa County, Alabama,32.9201244,-85.84862360000001
Geneva County, Alabama,31.0990456,-85.684578
Wilcox County, Alabama,32.0105439,-87.3413599
Kodiak Island Borough, Alaska,57.53693430000001,-153.2659352
Denali Borough, Alaska,63.82571729999999,-149.7317835
Valdez-Cordova Census Area, Alaska,61.4787707,-144.1147195
Kenai Peninsula Borough, Alaska,60.0858486,-151.382264
Aleutians West Census Area, Alaska,52.3232697,-174.1596072
Bristol Bay Borough, Alaska,58.7578504,-156.7792687
Northwest Arctic Borough, Alaska,67.2872981,-160.0342624
Bethel Census Area, Alaska,61.09344600000001,-160.8640773
North Slope Borough, Alaska,69.05787579999999,-152.8628274
Sitka City and Borough, Alaska,57.0530556,-135.33
Fairbanks North Star Borough, Alaska,64.9526102,-146.4744154
Ketchikan Gateway Borough, Alaska,55.5103345,-131.389286
Matanuska-Susitna Borough, Alaska,62.2599347,-150.1729153
Yakutat City and Borough, Alaska,59.5469878,-139.7272808
Nome Census Area, Alaska,64.8329974,-164.256602
Dillingham Census Area, Alaska,59.80677919999999,-157.7242585
Haines Borough, Alaska,59.1392237,-135.0
Juneau City and Borough, Alaska,58.3019444,-134.4197221
Lake and Peninsula Borough, Alaska,58.0458356,-156.5982286
Southeast Fairbanks Census Area, Alaska,63.9603869,-143.6296999
Yukon-Koyukuk Census Area, Alaska,65.8443666,-153.4302993
Anchorage Municipality, Alaska,61.2180556,-149.9002778
Aleutians East Borough, Alaska,55.53880059999999,-161.8988535
Prince of Wales-Hyder Census Area, Alaska,55.3242244,-132.6044581
Wrangell City and Borough, Alaska,56.4708333,-132.3766666
Hoonah-Angoon Census Area, Alaska,58.31765049999999,-136.0390896
Skagway Municipality, Alaska,59.45540250000001,-135.315279
Petersburg Borough, Alaska,56.8125,-132.9555556
Kusilvak Census Area, Alaska,62.1458336,-162.891919
Pima County, Arizona,32.057499,-111.6660725
Maricopa County, Arizona,33.2917968,-112.4291464
Gila County, Arizona,33.6370567,-110.5215459
Graham County, Arizona,33.076805,-109.7591675
Santa Cruz County, Arizona,37.0453988,-121.9579578
Cochise County, Arizona,31.82845799999999,-109.949686
La Paz County, Arizona,34.0061091,-113.9536466
Mohave County, Arizona,35.2143346,-113.7632828
Apache County, Arizona,35.5313224,-109.3783206
Coconino County, Arizona,35.6647545,-111.4752851
Yavapai County, Arizona,34.6463981,-112.4291464
Yuma County, Arizona,32.6527533,-113.9536466
Greenlee County, Arizona,33.2405598,-109.2831531
Navajo County, Arizona,35.4019765,-110.1402594
Pinal County, Arizona,32.8162061,-111.2845025
White County, Arkansas,34.6567728,-83.7199136
Nevada County, Arkansas,39.1346666,-121.1710389
St. Francis County, Arkansas,34.9926533,-90.7152749
Pulaski County, Arkansas,34.75386150000001,-92.2236667
Clay County, Arkansas,29.9943564,-81.77870209999999
Cross County, Arkansas,40.9276239,-73.8558481
Dallas County, Arkansas,32.8024682,-96.83509989999999
Drew County, Arkansas,33.5156463,-91.7538817
Columbia County, Arkansas,33.5098514,-82.25832969999999
Randolph County, Arkansas,35.7449531,-79.8296743
Saline County, Arkansas,34.5708215,-92.539603
Van Buren County, Arkansas,42.2459665,-86.0121573
Boone County, Arkansas,38.9940572,-84.7315563
Izard County, Arkansas,36.1610924,-91.9099238
Independence County, Arkansas,35.8174139,-91.5983959
Lincoln County, Arkansas,35.4637028,-81.20781640000001
Logan County, Arkansas,40.38996789999999,-83.8473015
Grant County, Arkansas,47.1981147,-119.3732456
Crittenden County, Arkansas,35.3021443,-90.37483540000001
Franklin County, Arkansas,40.0154745,-82.99316069999999
Faulkner County, Arkansas,35.1035858,-92.38136209999999
Pike County, Arkansas,41.3361875,-75.06111469999999
Jefferson County, Arkansas,39.5800298,-105.2662931
Marion County, Arkansas,44.8446393,-122.5927411
Montgomery County, Arkansas,39.1547426,-77.2405153
Scott County, Arkansas,44.6834072,-93.54079089999999
Searcy County, Arkansas,35.9721,-92.6983868
Sebastian County, Arkansas,35.2260397,-94.315422
Crawford County, Arkansas,41.6661391,-80.2767327
Benton County, Arkansas,46.3166362,-119.5021582
Chicot County, Arkansas,33.3419551,-91.28910359999999
Hot Spring County, Arkansas,34.3393795,-92.97755579999999
Johnson County, Arkansas,38.845412,-94.8520636
Lee County, Arkansas,26.6630286,-81.9534815
Madison County, Arkansas,38.9041402,-89.9253233
Desha County, Arkansas,33.8773585,-91.44346900000001
Fulton County, Arkansas,33.8033965,-84.3962535
Howard County, Arkansas,39.2873463,-76.964306
Garland County, Arkansas,34.5559285,-93.17796589999999
Mississippi County, Arkansas,35.8279728,-90.0746767
Pope County, Arkansas,35.440627,-93.0175712
Prairie County, Arkansas,34.7636336,-91.5983959
Union County, Arkansas,34.9338651,-80.54384499999999
Woodruff County, Arkansas,35.1215846,-91.13530200000001
Cleburne County, Arkansas,35.4605769,-92.0665197
Cleveland County, Arkansas,35.361354,-81.6035062
Jackson County, Arkansas,38.9914998,-94.315422
Hempstead County, Arkansas,33.6530112,-93.66232389999999
Sharp County, Arkansas,36.16759740000001,-91.44346900000001
Stone County, Arkansas,36.7748882,-93.4599326
Washington County, Arkansas,45.5469616,-123.1386021
Greene County, Arkansas,39.697399,-83.8897057
Baxter County, Arkansas,36.3261815,-92.38136209999999
Ashley County, Arkansas,33.1565939,-91.7538817
Craighead County, Arkansas,35.8260959,-90.6773046
Lafayette County, Arkansas,39.0031288,-93.9878427
Perry County, Arkansas,40.371376,-77.2405153
Yell County, Arkansas,35.0810824,-93.33889169999999
Phillips County, Arkansas,34.4611206,-90.86751339999999
Poinsett County, Arkansas,35.6078586,-90.6393702
Sevier County, Arkansas,35.8271682,-83.5070203
Calhoun County, Arkansas,42.2073905,-85.02334599999999
Clark County, Arkansas,36.0795613,-115.094045
Bradley County, Arkansas,35.1937778,-84.8567932
Lawrence County, Arkansas,40.957855,-80.365865
Monroe County, Arkansas,43.2841246,-77.7452081
Polk County, Arkansas,27.8617347,-81.6911559
Conway County, Arkansas,35.2727492,-92.6983868
Ouachita County, Arkansas,33.5828512,-92.9375739
Newton County, Arkansas,33.5544296,-83.8473015
Arkansas County, Arkansas,34.2354138,-91.28910359999999
Little River County, Arkansas,33.6808926,-94.19234000000002
Lonoke County, Arkansas,34.7591647,-91.9099238
Carroll County, Arkansas,39.5423418,-77.0564464
Miller County, Arkansas,33.3335556,-93.86553029999999
Modoc County, California,41.4565165,-120.629366
Merced County, California,37.2009788,-120.7120023
Lake County, California,42.3689363,-87.8271534
Mariposa County, California,37.4893626,-119.9679294
Yuba County, California,39.2547027,-121.3998995
Contra Costa County, California,37.8534093,-121.9017954
Inyo County, California,36.3091865,-117.5495846
Lassen County, California,40.5394389,-120.7120023
Stanislaus County, California,37.5090711,-120.9876321
Santa Barbara County, California,34.4208321,-119.6982057
Sonoma County, California,38.5779555,-122.9888319
Tehama County, California,40.0982197,-122.174605
Imperial County, California,33.0113694,-115.4733554
Mono County, California,37.9218608,-118.9528645
San Benito County, California,36.5760883,-120.9876321
Alameda County, California,37.6016892,-121.7195459
Sacramento County, California,38.47467,-121.3541631
El Dorado County, California,38.74263759999999,-120.4357631
Napa County, California,38.5024689,-122.2653887
San Diego County, California,32.7157305,-117.1610966
Monterey County, California,36.3136201,-121.3541631
San Francisco County, California,37.7749295,-122.4194155
Sierra County, California,39.5532845,-120.2512728
Tulare County, California,36.1341739,-118.8596804
Yolo County, California,38.7646021,-121.9017954
Humboldt County, California,40.7450055,-123.8695086
Nevada County, California,39.1346666,-121.1710389
Alpine County, California,38.5940736,-119.8815203
Madera County, California,37.251926,-119.6962677
Mendocino County, California,39.5500194,-123.438353
Santa Cruz County, California,37.0453988,-121.9579578
Trinity County, California,40.6329485,-123.0622553
Los Angeles County, California,34.0522265,-118.2436596
Riverside County, California,33.9532966,-117.3961192
San Bernardino County, California,34.9592083,-116.419389
Santa Clara County, California,37.3336581,-121.8907041
Marin County, California,38.083403,-122.7633036
Placer County, California,39.0915751,-120.8039474
Siskiyou County, California,41.7743261,-122.5770126
Shasta County, California,40.7908864,-121.8474493
Solano County, California,38.3104969,-121.9017954
Del Norte County, California,41.7076287,-123.9659708
Colusa County, California,39.1040645,-122.2653887
Glenn County, California,39.6437813,-122.4467238
Butte County, California,39.6253952,-121.5370003
Kings County, California,36.0988489,-119.8815203
Plumas County, California,39.99268319999999,-120.8039474
San Luis Obispo County, California,35.3102296,-120.4357631
Fresno County, California,36.9858984,-119.2320784
Kern County, California,35.4937274,-118.8596804
Orange County, California,33.7174708,-117.8311428
Ventura County, California,34.3704884,-119.1390642
Calaveras County, California,38.1960477,-120.6805037
Sutter County, California,39.0219764,-121.6739371
San Mateo County, California,37.4337342,-122.4014193
Tuolumne County, California,38.029655,-119.9740534
San Joaquin County, California,37.9175935,-121.1710389
Amador County, California,38.3488921,-120.7740931
Costilla County, Colorado,37.2049596,-105.5005483
Adams County, Colorado,39.8398269,-104.1930918
Conejos County, Colorado,37.2689711,-106.2522143
Custer County, Colorado,38.0615578,-105.3131185
Douglas County, Colorado,39.2587106,-104.9388853
Eagle County, Colorado,39.576406,-106.7234639
Lake County, Colorado,42.3689363,-87.8271534
La Plata County, Colorado,37.2125857,-107.763621
Moffat County, Colorado,40.6138379,-108.2377519
Pitkin County, Colorado,39.159101,-106.8178377
Rio Grande County, Colorado,37.5749508,-106.4405872
Cheyenne County, Colorado,41.2509264,-103.0817903
Bent County, Colorado,38.0036339,-103.0817903
Crowley County, Colorado,38.2498631,-103.8216261
Dolores County, Colorado,37.7530272,-108.5225709
San Juan County, Colorado,48.61180350000001,-122.9602621
Jackson County, Colorado,38.9914998,-94.315422
Larimer County, Colorado,40.6955572,-105.5943388
Logan County, Colorado,40.38996789999999,-83.8473015
Montezuma County, Colorado,37.3257517,-108.6175626
San Miguel County, Colorado,37.9781237,-108.1428669
Teller County, Colorado,38.86115789999999,-105.1726816
Yuma County, Colorado,32.6527533,-113.9536466
Boulder County, Colorado,40.1512114,-105.5005483
Elbert County, Colorado,39.35370040000001,-104.1930918
Las Animas County, Colorado,37.2994909,-104.1001326
Lincoln County, Colorado,35.4637028,-81.20781640000001
Clear Creek County, Colorado,39.6904464,-105.6412527
Routt County, Colorado,40.4771623,-107.1011931
Summit County, Colorado,41.0918991,-81.5596427
Alamosa County, Colorado,37.654039,-105.876004
Delta County, Colorado,38.8531357,-107.763621
Fremont County, Colorado,38.5306514,-105.5005483
Pueblo County, Colorado,38.2528534,-104.4723301
Montrose County, Colorado,38.468304,-108.1428669
Morgan County, Colorado,41.0576176,-111.6183755
Park County, Colorado,39.0897928,-105.5943388
Saguache County, Colorado,38.0019623,-106.3463791
Mesa County, Colorado,38.9585381,-108.6175626
Prowers County, Colorado,37.84337560000001,-102.2547919
Hinsdale County, Colorado,37.9316309,-107.3848831
El Paso County, Colorado,31.8039824,-106.2051484
Washington County, Colorado,45.5469616,-123.1386021
Grand County, Colorado,40.0727382,-106.0640179
Arapahoe County, Colorado,39.62031,-104.332644
Otero County, Colorado,32.6341716,-105.5943388
Phillips County, Colorado,34.4611206,-90.86751339999999
Archuleta County, Colorado,37.1604318,-107.0067031
Denver County, Colorado,39.7392358,-104.990251
Kiowa County, Colorado,37.52851649999999,-99.2785583
Huerfano County, Colorado,37.6125984,-104.9388853
Baca County, Colorado,37.394731,-102.5298028
Chaffee County, Colorado,38.7536679,-106.2522143
Gilpin County, Colorado,39.8770159,-105.4536718
Kit Carson County, Colorado,39.3844507,-102.5298028
Garfield County, Colorado,39.6584775,-107.763621
Gunnison County, Colorado,38.6437083,-107.0067031
Jefferson County, Colorado,39.5800298,-105.2662931
Mineral County, Colorado,37.6583677,-107.0067031
Ouray County, Colorado,38.2016133,-107.763621
Rio Blanco County, Colorado,39.9814297,-108.2377519
Sedgwick County, Colorado,37.6537367,-97.5247243
Weld County, Colorado,40.3920718,-104.7158226
New Haven County, Connecticut,41.3266911,-72.8042797
Litchfield County, Connecticut,41.7866294,-73.2765361
Hartford County, Connecticut,41.7924343,-72.8042797
Windham County, Connecticut,41.8275622,-72.0468164
New London County, Connecticut,41.5185189,-72.0468164
Middlesex County, Connecticut,40.4111363,-74.35874729999999
Tolland County, Connecticut,41.8418987,-72.37846789999999
Fairfield County, Connecticut,39.830506,-82.6483442
Santa Rosa County, Florida,30.7689907,-86.9824288
Broomfield County, Colorado,39.9205411,-105.0866504
New Castle County, Delaware,39.5392979,-75.667356
Sussex County, Delaware,38.65308410000001,-75.4344727
Kent County, Delaware,43.0097027,-85.52002399999999
Manatee County, Florida,27.4799195,-82.34518899999999
Citrus County, Florida,28.8848842,-82.5185837
Levy County, Florida,29.3178545,-82.82097399999999
Baker County, Florida,44.7652304,-117.67692
Volusia County, Florida,29.0279842,-81.0754657
Leon County, Florida,30.4906177,-84.1857115
Broward County, Florida,26.190096,-80.365865
Madison County, Florida,38.9041402,-89.9253233
Monroe County, Florida,43.2841246,-77.7452081
Escambia County, Florida,30.6389408,-87.3413599
Hernando County, Florida,28.5578826,-82.4752757
Hillsborough County, Florida,27.9903597,-82.3017728
Okaloosa County, Florida,30.57734009999999,-86.6611083
Taylor County, Florida,32.2455088,-99.8124935
Wakulla County, Florida,30.1301689,-84.3542049
Washington County, Florida,45.5469616,-123.1386021
Duval County, Florida,30.3500511,-81.6035062
Bradford County, Florida,29.97238179999999,-82.1713632
Brevard County, Florida,28.263933,-80.7214417
Clay County, Florida,29.9943564,-81.77870209999999
Lafayette County, Florida,39.0031288,-93.9878427
Lake County, Florida,42.3689363,-87.8271534
Nassau County, Florida,40.6546145,-73.55941279999999
Pinellas County, Florida,27.876394,-82.7778579
Polk County, Florida,27.8617347,-81.6911559
St. Lucie County, Florida,27.3225563,-80.54384499999999
Glades County, Florida,26.984415,-81.0754657
Hendry County, Florida,26.6105319,-81.0754657
Indian River County, Florida,27.6947732,-80.54384499999999
Jackson County, Florida,38.9914998,-94.315422
Palm Beach County, Florida,26.6514503,-80.2767327
St. Johns County, Florida,29.9719419,-81.42789839999999
Seminole County, Florida,28.7131688,-81.20781640000001
Miami-Dade County, Florida,25.5516034,-80.6326916
Bay County, Florida,30.1805306,-85.684578
Flagler County, Florida,29.4086072,-81.2518833
Franklin County, Florida,40.0154745,-82.99316069999999
Gulf County, Florida,29.8001623,-85.35496499999999
Hamilton County, Florida,39.2355447,-84.56414699999999
Liberty County, Florida,30.1633593,-94.81059549999999
Osceola County, Florida,28.1019838,-81.0754657
Sumter County, Florida,28.6747526,-82.08429009999999
Walton County, Florida,30.56401989999999,-86.17517590000001
Gadsden County, Florida,30.5562947,-84.6479124
Holmes County, Florida,40.5540928,-81.909826
Jefferson County, Florida,39.5800298,-105.2662931
Lee County, Florida,26.6630286,-81.9534815
Marion County, Florida,44.8446393,-122.5927411
Hardee County, Florida,27.4501733,-81.8224362
Collier County, Florida,26.069985,-81.42789839999999
Okeechobee County, Florida,27.3462015,-80.89865019999999
Orange County, Florida,33.7174708,-117.8311428
Alachua County, Florida,29.6579549,-82.3017728
District of Columbia, District of Columbia,38.9071923,-77.0368707
Pasco County, Florida,28.3232418,-82.4319405
Gilchrist County, Florida,29.6871128,-82.82097399999999
Highlands County, Florida,27.3400286,-81.34002679999999
Suwannee County, Florida,30.24850959999999,-82.99316069999999
DeSoto County, Florida,34.9065453,-89.9626799
Calhoun County, Florida,42.2073905,-85.02334599999999
Charlotte County, Florida,26.8946009,-81.909826
Columbia County, Florida,33.5098514,-82.25832969999999
Dixie County, Florida,29.5207227,-83.1649001
Martin County, Florida,27.0804935,-80.4103957
Putnam County, Florida,41.4351069,-73.7948516
Sarasota County, Florida,27.1995986,-82.34518899999999
Union County, Florida,34.9338651,-80.54384499999999
Clay County, Georgia,29.9943564,-81.77870209999999
Echols County, Georgia,30.7503289,-82.95015579999999
Glynn County, Georgia,31.2624169,-81.6035062
DeKalb County, Georgia,33.7956441,-84.2278796
Haralson County, Georgia,33.8021715,-85.1900684
Lincoln County, Georgia,35.4637028,-81.20781640000001
Jackson County, Georgia,38.9914998,-94.315422
Jefferson County, Georgia,39.5800298,-105.2662931
Jones County, Georgia,31.5343241,-89.1705998
Murray County, Georgia,34.7928029,-84.7315563
Muscogee County, Georgia,32.4794133,-84.8984775
Pulaski County, Georgia,34.75386150000001,-92.2236667
Rabun County, Georgia,34.9027286,-83.3789389
Stewart County, Georgia,36.5023236,-87.77633329999999
Towns County, Georgia,34.9208214,-83.7199136
Treutlen County, Georgia,32.3870233,-82.5834947
Turner County, Georgia,31.6976531,-83.63484299999999
Irwin County, Georgia,31.5893221,-83.2934086
Atkinson County, Georgia,31.2932161,-82.8640623
Appling County, Georgia,31.712238,-82.25832969999999
Bacon County, Georgia,31.5412085,-82.4319405
Brantley County, Georgia,31.1510963,-81.9971108
Whitfield County, Georgia,34.8033566,-84.981754
Calhoun County, Georgia,42.2073905,-85.02334599999999
Macon County, Georgia,35.1197519,-83.33618799999999
Troup County, Georgia,33.0698575,-85.02334599999999
Bibb County, Georgia,32.7865735,-83.7199136
Harris County, Georgia,29.7751825,-95.3102505
Marion County, Georgia,44.8446393,-122.5927411
Schley County, Georgia,32.2736136,-84.3121264
Worth County, Georgia,43.3580686,-93.33889169999999
Bleckley County, Georgia,32.4087854,-83.3789389
Dooly County, Georgia,32.1593447,-83.804868
Evans County, Georgia,32.1427011,-81.909826
Franklin County, Georgia,40.0154745,-82.99316069999999
Webster County, Georgia,42.3974963,-94.15137639999999
Effingham County, Georgia,32.378148,-81.38393260000001
Lamar County, Georgia,33.75694,-95.6457951
Glascock County, Georgia,33.2422994,-82.6267345
Emanuel County, Georgia,32.5726629,-82.3017728
Quitman County, Georgia,31.8485969,-84.981754
Chatham County, Georgia,31.9994194,-81.1196075
Liberty County, Georgia,30.1633593,-94.81059549999999
Jasper County, Georgia,32.491436,-81.0754657
Johnson County, Georgia,38.845412,-94.8520636
Lanier County, Georgia,31.02912689999999,-83.03613759999999
Madison County, Georgia,38.9041402,-89.9253233
Mitchell County, Georgia,36.0277763,-82.1496049
Seminole County, Georgia,28.7131688,-81.20781640000001
Tift County, Georgia,31.4205597,-83.54965659999999
Twiggs County, Georgia,32.68356,-83.46435509999999
Polk County, Georgia,27.8617347,-81.6911559
Talbot County, Georgia,38.7803973,-76.1319953
Taylor County, Georgia,32.2455088,-99.8124935
Terrell County, Georgia,30.2348611,-102.1632718
Thomas County, Georgia,30.8417409,-83.8473015
Toombs County, Georgia,32.0795072,-82.34518899999999
Wilkinson County, Georgia,32.8024682,-83.1649001
Ben Hill County, Georgia,31.7664035,-83.2077645
Burke County, Georgia,35.7616931,-81.73494199999999
Catoosa County, Georgia,34.8981727,-85.14793639999999
Chattahoochee County, Georgia,32.2952274,-84.8150781
Chattooga County, Georgia,34.4632661,-85.31362179999999
Columbia County, Georgia,33.5098514,-82.25832969999999
Decatur County, Georgia,39.3176186,-85.52002399999999
Floyd County, Georgia,34.2828967,-85.2308414
Forsyth County, Georgia,34.2358502,-84.14351359999999
Habersham County, Georgia,34.6478893,-83.54965659999999
Hart County, Georgia,34.3500039,-82.95015579999999
Lowndes County, Georgia,30.8600022,-83.2934086
McIntosh County, Georgia,31.4748147,-81.38393260000001
Meriwether County, Georgia,33.0561282,-84.68974949999999
Monroe County, Georgia,43.2841246,-77.7452081
Putnam County, Georgia,41.4351069,-73.7948516
Sumter County, Georgia,28.6747526,-82.08429009999999
Taliaferro County, Georgia,33.56978780000001,-82.8855961
Warren County, Georgia,39.4241422,-84.1857115
Baker County, Georgia,44.7652304,-117.67692
Bryan County, Georgia,32.0236584,-81.47183869999999
Butts County, Georgia,33.2691443,-83.9532571
Candler County, Georgia,32.4241804,-82.08429009999999
Camden County, Georgia,39.8592439,-75.0143824
Carroll County, Georgia,39.5423418,-77.0564464
Crawford County, Georgia,41.6661391,-80.2767327
Early County, Georgia,31.3901106,-84.8984775
Crisp County, Georgia,31.8875724,-83.804868
Coffee County, Georgia,35.4576849,-86.05296039999999
