,County,State,Homeless Pop,Population,Homeless Rate
3062,Oconto County, Wisconsin,0,37465,0
3063,Oneida County, Wisconsin,0,35352,0
3064,Outagamie County, Wisconsin,398,183288,0.012435168
3065,Ozaukee County, Wisconsin,0,87817,0
3066,Pepin County, Wisconsin,0,7282,0
3067,St. Croix County, Wisconsin,116,87142,0.016488984
3068,Polk County, Wisconsin,74,43328,0.00826908
3069,Portage County, Wisconsin,95,70371,0.003258782
3070,Price County, Wisconsin,0,13566,0
3071,Racine County, Wisconsin,413,195101,0.024327031
3072,Richland County, Wisconsin,40,17626,0.006896552
3073,Rock County, Wisconsin,446,161226,0.005185082
3074,Rusk County, Wisconsin,0,14211,0
3075,Washington County, Wisconsin,41,133967,0.004936785
3076,Sauk County, Wisconsin,4,63340,0.000148148
3077,Sawyer County, Wisconsin,0,16384,0
3078,Shawano County, Wisconsin,0,41136,0
3079,Sheboygan County, Wisconsin,110,115094,0.014614056
3080,Taylor County, Wisconsin,0,20344,0
3081,Trempealeau County, Wisconsin,20,29510,0.000208117
3082,Vilas County, Wisconsin,0,21465,0
3083,Vernon County, Wisconsin,0,30378,0
3084,Walworth County, Wisconsin,135,102917,0.003921227
3085,Washburn County, Wisconsin,0,15638,0
3086,Waukesha County, Wisconsin,331,396731,0.009804502
3087,Waupaca County, Wisconsin,100,51651,0.002416802
3088,Waushara County, Wisconsin,0,24170,0
3089,Winnebago County, Wisconsin,326,169540,0.001207922
3090,Wood County, Wisconsin,66,73427,0.000346404
3091,Calumet County, Wisconsin,0,49737,0
3092,Buffalo County, Wisconsin,0,13243,0
3093,Burnett County, Wisconsin,10,15239,0.000449256
3094,Bayfield County, Wisconsin,0,15004,0
3095,Barron County, Wisconsin,0,45358,0
3096,Brown County, Wisconsin,863,258004,0.014016794
3097,Adams County, Wisconsin,0,20111,0
3098,Ashland County, Wisconsin,21,15779,0.000478818
3099,Dodge County, Wisconsin,95,87833,0.000193576
3100,Chippewa County, Wisconsin,134,63445,0.01295437
3101,Clark County, Wisconsin,28,34513,0.000372648
3102,Columbia County, Wisconsin,64,56790,0.002096711
3103,Crawford County, Wisconsin,0,16313,0
3104,Dane County, Wisconsin,1163,522837,0.000549072
3105,Grant County, Wisconsin,0,51742,0
3106,Door County, Wisconsin,0,27443,0
3107,Douglas County, Wisconsin,73,43503,0.004500339
3108,Dunn County, Wisconsin,23,44260,0.002000348
3109,Eau Claire County, Wisconsin,122,102388,0.002552622
3110,Florence County, Wisconsin,0,4354,0
3111,Fond du Lac County, Wisconsin,56,102082,0.000762538
3112,Forest County, Wisconsin,0,9035,0
3113,Jefferson County, Wisconsin,0,84586,0
3114,Albany County, Wyoming,0,37944,0
3115,Lincoln County, Wyoming,0,18791,0
3116,Big Horn County, Wyoming,0,11920,0
3117,Campbell County, Wyoming,138,48116,0.001931312
3118,Carbon County, Wyoming,0,15689,0
3119,Converse County, Wyoming,0,14166,0
3120,Crook County, Wyoming,0,7347,0
3121,Fremont County, Wyoming,45,40354,0.000504915
3122,Goshen County, Wyoming,0,13479,0
3123,Hot Springs County, Wyoming,0,4741,0
3124,Johnson County, Wyoming,0,8562,0
3125,Laramie County, Wyoming,322,97031,0.00041715
3126,Natrona County, Wyoming,588,81023,0.012220467
3127,Niobrara County, Wyoming,0,2479,0
3128,Park County, Wyoming,0,29276,0
3129,Platte County, Wyoming,0,8703,0
3130,Sheridan County, Wyoming,127,29964,0.00130886
3131,Sublette County, Wyoming,0,10037,0
3132,Sweetwater County, Wyoming,0,44527,0
3133,Teton County, Wyoming,128,22923,0.005583911
3134,Uinta County, Wyoming,0,20758,0
3135,Weston County, Wyoming,0,7117,0
3136,Washakie County, Wyoming,0,8253,0
3137,Adjuntas Municipio, Puerto Rico,0,18525,0
3138,Aguada Municipio, Puerto Rico,92,39470,0.012522118
3139,Arroyo Municipio, Puerto Rico,0,18504,0
3140,Barceloneta Municipio, Puerto Rico,0,24583,0
3141,Aguadilla Municipio, Puerto Rico,156,55722,0.009943272
3142,Aguas Buenas Municipio, Puerto Rico,0,26855,0
3143,Aibonito Municipio, Puerto Rico,0,24008,0
3144,Arecibo Municipio, Puerto Rico,422,89550,0.051132921
3145,Barranquitas Municipio, Puerto Rico,0,29237,0
3146,Cabo Rojo Municipio, Puerto Rico,0,49726,0
3147,Caguas Municipio, Puerto Rico,340,134269,0.033874664
3148,Camuy Municipio, Puerto Rico,0,32936,0
3149,Ceiba Municipio, Puerto Rico,0,12238,0
3150,Cayey Municipio, Puerto Rico,0,45431,0
3151,Carolina Municipio, Puerto Rico,71,161684,0.002937526
3152,Ciales Municipio, Puerto Rico,0,17325,0
3153,Cidra Municipio, Puerto Rico,0,41181,0
3154,Coamo Municipio, Puerto Rico,0,39796,0
3155,Culebra Municipio, Puerto Rico,0,1494,0
3156,Dorado Municipio, Puerto Rico,0,37722,0
3157,Fajardo Municipio, Puerto Rico,0,33075,0
3158,Florida Municipio, Puerto Rico,0,12140,0
3159,Corozal Municipio, Puerto Rico,0,34933,0
3160,Guayama Municipio, Puerto Rico,8,42623,0.001837391
3161,Guayanilla Municipio, Puerto Rico,0,19578,0
3162,Guaynabo Municipio, Puerto Rico,192,90773,0.001143633
3163,Gurabo Municipio, Puerto Rico,16,47074,0.002783577
3164,Hatillo Municipio, Puerto Rico,0,40978,0
3165,Hormigueros Municipio, Puerto Rico,0,16474,0
3166,Humacao Municipio, Puerto Rico,32,54736,0.000854131
3167,Juncos Municipio, Puerto Rico,92,39704,0.003286419
3168,Isabela Municipio, Puerto Rico,0,43314,0
3169,Jayuya Municipio, Puerto Rico,0,15297,0
3170,Lajas Municipio, Puerto Rico,0,23893,0
3171,Lares Municipio, Puerto Rico,0,27321,0
3172,Luquillo Municipio, Puerto Rico,0,18952,0
3173,Las Piedras Municipio, Puerto Rico,0,38253,0
3174,Maricao Municipio, Puerto Rico,0,6180,0
3175,Maunabo Municipio, Puerto Rico,0,11297,0
3176,Moca Municipio, Puerto Rico,0,37676,0
3177,Morovis Municipio, Puerto Rico,0,31785,0
3178,Naguabo Municipio, Puerto Rico,0,26584,0
3179,Ponce Municipio, Puerto Rico,84,148863,0.009297178
3180,Naranjito Municipio, Puerto Rico,0,29112,0
3181,Orocovis Municipio, Puerto Rico,0,21906,0
3182,Patillas Municipio, Puerto Rico,0,17769,0
3183,Quebradillas Municipio, Puerto Rico,0,24548,0
3184,Sabana Grande Municipio, Puerto Rico,0,23610,0
3185,San Lorenzo Municipio, Puerto Rico,40,38689,0.002084419
3186,San Juan Municipio, Puerto Rico,644,355181,0.14292055
3187,Salinas Municipio, Puerto Rico,0,29239,0
3188,Santa Isabel Municipio, Puerto Rico,0,22475,0
3189,Utuado Municipio, Puerto Rico,20,30209,0.001510232
3190,Trujillo Alto Municipio, Puerto Rico,0,69478,0
3191,Toa Alta Municipio, Puerto Rico,0,74169,0
3192,Toa Baja Municipio, Puerto Rico,0,81905,0
3193,Vega Alta Municipio, Puerto Rico,0,38589,0
3194,Vega Baja Municipio, Puerto Rico,0,54754,0
3195,Vieques Municipio, Puerto Rico,0,8931,0
3196,Villalba Municipio, Puerto Rico,0,23659,0
3197,Yabucoa Municipio, Puerto Rico,0,35025,0
3198,Yauco Municipio, Puerto Rico,96,37585,0.003253135
