County,State,Population,Poverty Rate
Chilton County, Alabama,43805,19.15763041
Colbert County, Alabama,54435,16.63635529
Coosa County, Alabama,10955,13.81104518
Dale County, Alabama,49393,19.1140445
Hale County, Alabama,14995,25.68856285
Etowah County, Alabama,103132,17.61431951
DeKalb County, Alabama,71194,21.23072169
Escambia County, Alabama,37621,22.01164243
Lamar County, Alabama,14021,22.75871906
Randolph County, Alabama,22530,18.20683533
Butler County, Alabama,20126,24.023651
Mobile County, Alabama,414328,18.88745149
Conecuh County, Alabama,12649,26.21551111
Perry County, Alabama,9680,38.28512397
Walker County, Alabama,64927,21.18379103
Cleburne County, Alabama,14939,18.74288774
Greene County, Alabama,8533,38.59135122
Barbour County, Alabama,26201,24.16701653
Bibb County, Alabama,22580,13.87511072
Bullock County, Alabama,10478,27.21893491
Calhoun County, Alabama,115527,18.12563297
Chambers County, Alabama,33895,18.55140876
Clarke County, Alabama,24625,24.80406091
Fayette County, Alabama,16657,17.81233115
Montgomery County, Alabama,227120,20.19328989
Marshall County, Alabama,94738,20.74563533
Blount County, Alabama,57667,15.46638459
Henry County, Alabama,17110,13.50087668
Madison County, Alabama,353213,13.28518486
Autauga County, Alabama,55036,13.59655498
Tallapoosa County, Alabama,40756,20.93434096
Geneva County, Alabama,26572,22.21511365
Wilcox County, Alabama,10919,30.87279055
Kodiak Island Borough, Alaska,13773,9.162854861
Denali Borough, Alaska,2303,15.24099001
Valdez-Cordova Census Area, Alaska,9439,7.352473779
Kenai Peninsula Borough, Alaska,57961,10.74688152
Aleutians West Census Area, Alaska,5784,7.244121715
Bristol Bay Borough, Alaska,917,6.870229008
Northwest Arctic Borough, Alaska,7715,25.06804925
Bethel Census Area, Alaska,17957,26.20148132
North Slope Borough, Alaska,9757,10.00307472
Sitka City and Borough, Alaska,8810,9.080590238
Fairbanks North Star Borough, Alaska,100031,7.337725305
Ketchikan Gateway Borough, Alaska,13745,10.4547108
Matanuska-Susitna Borough, Alaska,101135,9.64947842
Yakutat City and Borough, Alaska,682,6.158357771
Nome Census Area, Alaska,9869,24.12605127
Dillingham Census Area, Alaska,4974,16.42541214
Haines Borough, Alaska,2537,8.277493102
Juneau City and Borough, Alaska,32434,7.211568108
Lake and Peninsula Borough, Alaska,1301,16.37202152
Southeast Fairbanks Census Area, Alaska,6889,13.673973
Yukon-Koyukuk Census Area, Alaska,5453,25.17880066
Anchorage Municipality, Alaska,298225,7.883309582
Aleutians East Borough, Alaska,3338,16.62672259
Prince of Wales-Hyder Census Area, Alaska,6473,15.86590453
Wrangell City and Borough, Alaska,2475,11.5959596
Hoonah-Angoon Census Area, Alaska,2146,11.09040075
Skagway Municipality, Alaska,1038,5.587668593
Petersburg Borough, Alaska,3275,7.816793893
Kusilvak Census Area, Alaska,8129,38.91007504
Pima County, Arizona,1007257,17.82752565
Maricopa County, Arizona,4155501,15.50898436
Gila County, Arizona,53145,21.50155236
Graham County, Arizona,37700,18.80371353
Santa Cruz County, Arizona,46358,21.67694896
Cochise County, Arizona,126516,16.64137342
La Paz County, Arizona,20477,19.39248913
Mohave County, Arizona,204691,18.11511009
Apache County, Arizona,71602,35.22946286
Coconino County, Arizona,138639,19.27235482
Yavapai County, Arizona,220972,14.41766378
Yuma County, Arizona,204281,19.17016267
Greenlee County, Arizona,9368,11.41118702
Navajo County, Arizona,107902,28.31087468
Pinal County, Arizona,405537,14.4869642
White County, Arkansas,78706,15.69638909
Nevada County, Arkansas,8528,22.51407129
St. Francis County, Arkansas,26688,23.84217626
Pulaski County, Arkansas,392848,17.06919725
Clay County, Arkansas,15190,21.98156682
Cross County, Arkansas,17164,17.71731531
Dallas County, Arkansas,7585,11.94462755
Drew County, Arkansas,18620,22.80343716
Columbia County, Arkansas,23992,23.14521507
Randolph County, Arkansas,17514,20.30946671
Saline County, Arkansas,116252,7.922444345
Van Buren County, Arkansas,16751,19.40182676
Boone County, Arkansas,37212,15.49768892
Izard County, Arkansas,13521,16.55203018
Independence County, Arkansas,37097,17.86667386
Lincoln County, Arkansas,13885,11.66726683
Logan County, Arkansas,21802,19.84221631
Grant County, Arkansas,18076,14.26753707
Crittenden County, Arkansas,49278,23.17870043
Franklin County, Arkansas,17803,21.50761108
Faulkner County, Arkansas,121282,15.6568988
Pike County, Arkansas,10893,17.00174424
Jefferson County, Arkansas,71373,22.61359338
Marion County, Arkansas,16374,19.3294247
Montgomery County, Arkansas,9059,17.8054973
Scott County, Arkansas,10584,20.23809524
Searcy County, Arkansas,7925,17.21135647
Sebastian County, Arkansas,127362,22.1502489
Crawford County, Arkansas,62119,16.41365766
Benton County, Arkansas,251823,10.36283421
Chicot County, Arkansas,11008,27.62536337
Hot Spring County, Arkansas,33480,14.75806452
Johnson County, Arkansas,26155,21.91932709
Lee County, Arkansas,9614,22.60245475
Madison County, Arkansas,15907,17.58345383
Desha County, Arkansas,12094,32.13163552
Fulton County, Arkansas,12092,22.47767119
Howard County, Arkansas,13472,20.70961995
Garland County, Arkansas,97994,18.67461273
Mississippi County, Arkansas,43534,25.08613957
Pope County, Arkansas,63372,18.68490816
Prairie County, Arkansas,8309,16.41593453
Union County, Arkansas,40022,19.829094
Woodruff County, Arkansas,6763,25.44728671
Cleburne County, Arkansas,25361,15.0979851
Cleveland County, Arkansas,8332,19.07105137
Jackson County, Arkansas,17429,20.60932928
Hempstead County, Arkansas,22154,25.00225693
Sharp County, Arkansas,17041,22.90945367
Stone County, Arkansas,12443,23.97331833
Washington County, Arkansas,223683,17.37056459
Greene County, Arkansas,44197,15.56440482
Baxter County, Arkansas,41093,12.45224247
Ashley County, Arkansas,20771,21.02931972
Craighead County, Arkansas,104246,17.55271185
Lafayette County, Arkansas,7051,23.1456531
Perry County, Arkansas,10320,17.51937984
Yell County, Arkansas,21601,17.55474284
Phillips County, Arkansas,19518,32.6006763
Poinsett County, Arkansas,24098,20.89799983
Sevier County, Arkansas,17206,20.90549808
Calhoun County, Arkansas,5194,18.98344243
Clark County, Arkansas,22495,18.76416982
Bradley County, Arkansas,10994,26.05057304
Lawrence County, Arkansas,16777,17.73857066
Monroe County, Arkansas,7420,28.27493261
Polk County, Arkansas,20212,26.35068276
Conway County, Arkansas,20954,18.34971843
Ouachita County, Arkansas,24378,25.55993109
Newton County, Arkansas,7898,17.62471512
Arkansas County, Arkansas,18352,20.35200523
Little River County, Arkansas,12494,18.33680166
Lonoke County, Arkansas,71568,12.16884641
Carroll County, Arkansas,27782,15.58923044
Miller County, Arkansas,43760,20.31764168
Modoc County, California,9017,17.56681823
Merced County, California,267390,22.76113542
Lake County, California,64095,22.4635307
Mariposa County, California,17658,14.88843584
Yuba County, California,74644,18.21713735
Contra Costa County, California,1123678,9.667360222
Inyo County, California,18195,9.925803792
Lassen County, California,31470,10.02542104
Stanislaus County, California,535684,17.02682925
Santa Barbara County, California,442996,14.7841064
Sonoma County, California,500943,10.52155634
Tehama County, California,63247,20.56856452
Imperial County, California,179957,22.43647093
Mono County, California,14058,9.80224783
San Benito County, California,58671,9.664058905
Alameda County, California,1629615,11.11882254
Sacramento County, California,1495400,16.464023
El Dorado County, California,185015,9.72677891
Napa County, California,141005,8.003262296
San Diego County, California,3283665,13.00470663
Monterey County, California,433168,14.06682857
San Francisco County, California,864263,11.46595423
Sierra County, California,2885,12.16637782
Tulare County, California,458809,26.74838549
Yolo County, California,212605,18.66654124
Humboldt County, California,135490,20.28267769
Nevada County, California,98838,12.00044517
Alpine County, California,1203,19.53449709
Madera County, California,154440,20.87801088
Mendocino County, California,87497,18.7983588
Santa Cruz County, California,273263,14.12741571
Trinity County, California,13037,19.52136228
Los Angeles County, California,10105722,16.7084054
Riverside County, California,2355002,15.38066634
San Bernardino County, California,2121220,17.66954866
Santa Clara County, California,1911226,8.503703905
Marin County, California,260814,7.86575874
Placer County, California,374985,8.126458392
Siskiyou County, California,43530,20.48012865
Shasta County, California,178919,17.86674417
Solano County, California,434981,11.17818939
Del Norte County, California,27442,20.30099847
Colusa County, California,21479,13.86936077
Glenn County, California,27935,19.34490782
Butte County, California,225207,19.97140409
Kings County, California,150183,18.65257719
Plumas County, California,18724,13.02606281
San Luis Obispo County, California,280119,13.00161717
Fresno County, California,971616,25.0139973
Kern County, California,878744,21.74956529
Orange County, California,3155816,11.99242922
Ventura County, California,847834,10.12179271
Calaveras County, California,45057,12.59737666
Sutter County, California,95583,16.53536717
San Mateo County, California,763450,7.201650403
Tuolumne County, California,53899,12.75533869
San Joaquin County, California,724153,16.75005144
Amador County, California,37306,9.553423042
Costilla County, Colorado,3628,29.5755237
Adams County, Colorado,487850,12.10413037
Conejos County, Colorado,8147,20.97704677
Custer County, Colorado,4505,15.38290788
Douglas County, Colorado,320940,3.625599801
Eagle County, Colorado,53726,7.683430741
Lake County, Colorado,7481,12.55179789
La Plata County, Colorado,54469,9.262149112
Moffat County, Colorado,13056,9.995404412
Pitkin County, Colorado,17747,7.043443962
Rio Grande County, Colorado,11430,17.65529309
Cheyenne County, Colorado,2127,11.51857076
Bent County, Colorado,5806,16.32793662
Crowley County, Colorado,5514,19.11498005
Dolores County, Colorado,1736,14.11290323
San Juan County, Colorado,569,3.339191564
Jackson County, Colorado,1372,12.75510204
Larimer County, Colorado,330976,12.08728125
Logan County, Colorado,21885,15.99268906
Montezuma County, Colorado,25770,16.58905704
San Miguel County, Colorado,7804,10.44336238
Teller County, Colorado,23769,7.404602634
Yuma County, Colorado,10109,14.09634979
Boulder County, Colorado,316782,12.58973048
Elbert County, Colorado,24553,4.724473588
Las Animas County, Colorado,14151,16.01300261
Lincoln County, Colorado,5520,8.913043478
Clear Creek County, Colorado,9257,6.719239494
Routt County, Colorado,24359,10.53819943
Summit County, Colorado,29722,10.30549761
Alamosa County, Colorado,16345,25.93453656
Delta County, Colorado,30217,15.86855082
Fremont County, Colorado,46601,12.13278685
Pueblo County, Colorado,163368,19.26142207
Montrose County, Colorado,40908,17.57357974
Morgan County, Colorado,28123,9.170429897
Park County, Colorado,16900,6.49704142
Saguache County, Colorado,6338,20.93720417
Mesa County, Colorado,148798,15.61714539
Prowers County, Colorado,12084,17.7672956
Hinsdale County, Colorado,820,11.95121951
El Paso County, Colorado,674826,10.77299926
Washington County, Colorado,4809,9.211894365
Grand County, Colorado,14793,13.02643142
Arapahoe County, Colorado,626612,9.808781192
Otero County, Colorado,18325,22.29195089
Phillips County, Colorado,4327,7.973191588
Archuleta County, Colorado,12592,11.48348158
Denver County, Colorado,678467,14.82916634
Kiowa County, Colorado,1368,10.38011696
Huerfano County, Colorado,6498,14.41982148
Baca County, Colorado,3581,18.82155822
Chaffee County, Colorado,18818,8.959506855
Gilpin County, Colorado,5793,5.4375971
Kit Carson County, Colorado,7846,10.37471323
Garfield County, Colorado,57945,9.403744931
Gunnison County, Colorado,16215,13.38267037
Jefferson County, Colorado,564029,7.683824768
Mineral County, Colorado,834,11.99040767
Ouray County, Colorado,4653,10.40189125
Rio Blanco County, Colorado,6557,11.17889279
Sedgwick County, Colorado,2357,16.63131099
Weld County, Colorado,285729,10.97298489
New Haven County, Connecticut,862127,11.68412542
Litchfield County, Connecticut,184454,6.72254329
Hartford County, Connecticut,897417,10.91978423
Windham County, Connecticut,116674,10.55333665
New London County, Connecticut,270772,9.487317743
Middlesex County, Connecticut,164110,6.966668698
Tolland County, Connecticut,151596,5.803583208
Fairfield County, Connecticut,947328,8.594911161
Santa Rosa County, Florida,166778,10.83656118
Broomfield County, Colorado,64283,5.195774933
New Castle County, Delaware,555036,11.54555741
Sussex County, Delaware,215551,11.82040445
Kent County, Delaware,173145,12.55768287
Manatee County, Florida,363542,13.26779299
Citrus County, Florida,141373,17.06337137
Levy County, Florida,39713,21.642787
Baker County, Florida,27537,15.5318299
Volusia County, Florida,518660,15.75772182
Leon County, Florida,285890,19.65091469
Broward County, Florida,1890416,13.87557024
Madison County, Florida,18518,28.30219246
Monroe County, Florida,76745,12.45944361
Escambia County, Florida,309924,13.69916496
Hernando County, Florida,179144,14.13499754
Hillsborough County, Florida,1351087,15.4094444
Okaloosa County, Florida,197591,11.13259207
Taylor County, Florida,22350,13.38702461
Wakulla County, Florida,31586,11.20749699
Washington County, Florida,24472,18.94409938
Duval County, Florida,912043,15.68062032
Bradford County, Florida,26775,16.410831
Brevard County, Florida,568183,13.21827651
Clay County, Florida,203291,10.32903572
Lafayette County, Florida,8684,14.55550438
Lake County, Florida,326215,12.67660898
Nassau County, Florida,78435,11.30362721
Pinellas County, Florida,949842,13.47045087
Polk County, Florida,652256,16.9499399
St. Lucie County, Florida,298763,16.47258864
Glades County, Florida,13197,16.21580662
Hendry County, Florida,39064,24.93088265
Indian River County, Florida,147981,12.58066914
Jackson County, Florida,48571,18.10133619
Palm Beach County, Florida,1426772,13.2576193
St. Johns County, Florida,226578,8.972627528
Seminole County, Florida,449260,11.68788675
Miami-Dade County, Florida,2702602,18.69243048
Bay County, Florida,180117,15.12794461
Flagler County, Florida,105015,13.17811741
Franklin County, Florida,11675,17.23340471
Gulf County, Florida,16018,12.66699963
Hamilton County, Florida,14238,20.33993538
Liberty County, Florida,8347,14.73583323
Osceola County, Florida,325168,17.65733406
Sumter County, Florida,116754,8.475084365
Walton County, Florida,63457,16.40480956
Gadsden County, Florida,46113,22.75930865
Holmes County, Florida,19483,24.01580865
Jefferson County, Florida,14085,11.36670217
Lee County, Florida,700165,14.64497654
Marion County, Florida,343778,17.0930077
Hardee County, Florida,27326,22.86467101
Collier County, Florida,356774,12.72093818
Okeechobee County, Florida,40228,20.56527792
Orange County, Florida,1290216,16.22720537
Alachua County, Florida,259865,21.95755488
District of Columbia, District of Columbia,672391,16.51196997
Pasco County, Florida,498136,13.34113575
Gilchrist County, Florida,17191,18.17229946
Highlands County, Florida,100177,18.46232169
Suwannee County, Florida,43814,19.57365226
DeSoto County, Florida,35675,28.27189909
Calhoun County, Florida,14458,11.00428828
Charlotte County, Florida,173236,11.70311021
Columbia County, Florida,68484,15.54961743
Dixie County, Florida,16323,21.26447344
Martin County, Florida,155719,10.6756401
Putnam County, Florida,72435,26.98419272
Sarasota County, Florida,404839,10.35621568
Union County, Florida,15300,13.94771242
Clay County, Georgia,3024,40.67460317
Echols County, Georgia,4011,28.17252555
Glynn County, Georgia,83467,18.89728875
DeKalb County, Georgia,736066,17.29450892
Haralson County, Georgia,28722,17.63108419
Lincoln County, Georgia,7768,22.82440783
Jackson County, Georgia,63851,12.36942256
Jefferson County, Georgia,15954,26.08750157
Jones County, Georgia,28540,14.01892081
Murray County, Georgia,39444,17.81259507
Muscogee County, Georgia,198647,20.78813171
Pulaski County, Georgia,11396,18.8048438
Rabun County, Georgia,16354,19.9278464
Stewart County, Georgia,5832,28.12071331
Towns County, Georgia,11173,13.56842388
Treutlen County, Georgia,6752,19.94964455
Turner County, Georgia,8036,26.59283225
Irwin County, Georgia,9278,23.75511964
Atkinson County, Georgia,8313,27.21039336
Appling County, Georgia,18471,24.01061123
Bacon County, Georgia,11279,21.86364039
Brantley County, Georgia,18411,21.56319592
Whitfield County, Georgia,103963,18.95866799
Calhoun County, Georgia,6503,22.66646163
Macon County, Georgia,13675,24.59963437
Troup County, Georgia,69433,20.78262498
Bibb County, Georgia,153923,25.6446405
Harris County, Georgia,33198,7.175131032
Marion County, Georgia,8558,22.80906754
Schley County, Georgia,5168,22.21362229
Worth County, Georgia,20809,21.37056082
Bleckley County, Georgia,12779,20.27545191
Dooly County, Georgia,14053,20.18786024
Evans County, Georgia,10757,24.70019522
Franklin County, Georgia,22328,24.64618416
Webster County, Georgia,2627,19.37571374
Effingham County, Georgia,57087,9.468004975
Lamar County, Georgia,18282,19.28126026
Glascock County, Georgia,3027,11.19920714
Emanuel County, Georgia,22502,28.12638877
Quitman County, Georgia,2140,22.80373832
Chatham County, Georgia,285506,16.50368118
Liberty County, Georgia,62120,15.98679974
Jasper County, Georgia,13732,19.10136906
Johnson County, Georgia,9800,20.78571429
Lanier County, Georgia,10388,27.67616481
Madison County, Georgia,28600,17.4020979
Mitchell County, Georgia,22574,24.08966067
Seminole County, Georgia,8549,25.13744298
Tift County, Georgia,40531,26.46122721
Twiggs County, Georgia,8323,26.96143218
Polk County, Georgia,41444,18.77473217
Talbot County, Georgia,6423,16.65888214
Taylor County, Georgia,8267,27.64001452
Terrell County, Georgia,8978,33.93851637
Thomas County, Georgia,44909,19.10530183
Toombs County, Georgia,27160,24.05007364
Wilkinson County, Georgia,9147,23.08953755
Ben Hill County, Georgia,17272,29.75335804
Burke County, Georgia,22645,28.72157209
Catoosa County, Georgia,65870,10.69530894
Chattahoochee County, Georgia,11096,10.26496035
Chattooga County, Georgia,24880,20.7073955
Columbia County, Georgia,143723,8.53655991
Decatur County, Georgia,27023,23.06553676
Floyd County, Georgia,96471,17.38760871
Forsyth County, Georgia,211300,6.45669664
Habersham County, Georgia,43878,16.21313642
Hart County, Georgia,25535,18.17897004
Lowndes County, Georgia,113941,24.05630984
McIntosh County, Georgia,14061,20.11947941
Meriwether County, Georgia,21152,22.38559002
Monroe County, Georgia,26795,12.7449151
Putnam County, Georgia,21430,15.98226785
Sumter County, Georgia,30687,31.15325708
Taliaferro County, Georgia,1844,30.96529284
Warren County, Georgia,5410,26.37707948
Baker County, Georgia,3251,19.50169179
Bryan County, Georgia,34883,14.03835679
Butts County, Georgia,23556,20.76753269
Candler County, Georgia,10894,30.66825776
Camden County, Georgia,52252,12.27321442
Carroll County, Georgia,114898,18.02033108
Crawford County, Georgia,12385,17.81994348
Early County, Georgia,10405,27.02546852
Crisp County, Georgia,23005,30.53683982
Coffee County, Georgia,43048,21.71529455
Coweta County, Georgia,138015,11.5204869
Cobb County, Georgia,739072,10.70626407
Gilmer County, Georgia,29614,18.63983251
Dade County, Georgia,16282,16.08524751
Walton County, Georgia,88695,12.62754383
Wilkes County, Georgia,9905,26.19888945
Brooks County, Georgia,15629,23.29643611
Dodge County, Georgia,21063,20.07786165
Gordon County, Georgia,56424,18.54884446
Elbert County, Georgia,19288,22.01368727
Cherokee County, Georgia,235896,9.356665649
Fayette County, Georgia,110306,6.261672076
Jenkins County, Georgia,8929,30.4625378
Lee County, Georgia,29216,11.23014786
Newton County, Georgia,105042,16.49625864
Pickens County, Georgia,30343,9.768315592
Greene County, Georgia,16732,21.65311977
Colquitt County, Georgia,45890,24.93789497
Cook County, Georgia,17190,23.84525887
Dawson County, Georgia,23397,11.66388853
Hancock County, Georgia,8667,20.81458405
Clayton County, Georgia,274150,21.41200073
Fulton County, Georgia,1010420,15.4904891
Hall County, Georgia,192865,15.88364918
Lumpkin County, Georgia,31567,19.17192004
McDuffie County, Georgia,21488,25.60964259
Miller County, Georgia,5884,22.63766145
Morgan County, Georgia,18013,13.17937045
Heard County, Georgia,11607,17.01559404
Oconee County, Georgia,35972,6.883131324
Dougherty County, Georgia,91522,29.23777889
Fannin County, Georgia,24480,15.54738562
Henry County, Georgia,217506,11.32750361
Houston County, Georgia,150341,16.45924931
Laurens County, Georgia,47451,26.72862532
Long County, Georgia,17857,19.76815815
Spalding County, Georgia,64192,21.22382851
Stephens County, Georgia,25625,17.57658537
Telfair County, Georgia,16339,22.08213477
Union County, Georgia,22262,12.52358279
Upson County, Georgia,26241,22.16760032
Washington County, Georgia,20506,24.74397737
White County, Georgia,28509,17.47167561
Peach County, Georgia,27027,17.33451733
Paulding County, Georgia,152399,9.65623134
Pierce County, Georgia,19141,20.86620344
Pike County, Georgia,17919,11.98727608
Richmond County, Georgia,201568,23.16439117
Screven County, Georgia,14037,22.02749875
Tattnall County, Georgia,25402,17.92378553
Berrien County, Georgia,19014,23.37751131
Walker County, Georgia,68609,16.79517264
Gwinnett County, Georgia,889954,12.05309488
Barrow County, Georgia,75099,13.0880571
Charlton County, Georgia,12963,20.97508293
Clinch County, Georgia,6788,38.90689452
Bartow County, Georgia,102623,14.04850764
Douglas County, Georgia,140152,14.04903248
Grady County, Georgia,25048,25.08783136
Jeff Davis County, Georgia,14999,20.5280352
Montgomery County, Georgia,8962,17.77505021
Oglethorpe County, Georgia,14654,17.35362358
Randolph County, Georgia,7206,33.98556758
Rockdale County, Georgia,88482,16.08462738
Ware County, Georgia,35688,23.0889935
Wayne County, Georgia,29833,19.65273355
Wheeler County, Georgia,7952,22.38430584
Wilcox County, Georgia,8896,16.76034173
Baldwin County, Georgia,45527,25.50135085
Banks County, Georgia,18363,14.31683276
Bulloch County, Georgia,73742,27.3290662
Clarke County, Georgia,123554,31.25596905
Hawaii County, Hawaii,196325,17.16694257
Honolulu County, Hawaii,990060,8.774013696
Maui County, Hawaii,164094,9.840091655
Kauai County, Hawaii,71093,9.030424936
Kalawao County, Hawaii,86,11.62790698
Oneida County, Idaho,4284,12.48832866
Cassia County, Idaho,23472,14.45552147
Gem County, Idaho,16850,20.50445104
Lincoln County, Idaho,5296,11.34818731
Valley County, Idaho,10104,10.31274743
Adams County, Idaho,3946,13.71008616
Franklin County, Idaho,13120,12.2027439
Nez Perce County, Idaho,40014,13.94262008
Jerome County, Idaho,23039,16.02934155
Kootenai County, Idaho,150128,12.43472237
Lewis County, Idaho,3824,15.03661088
Minidoka County, Idaho,20448,17.71811424
Twin Falls County, Idaho,82248,14.165694
Owyhee County, Idaho,11384,23.03232607
Blaine County, Idaho,21583,14.73381828
Boise County, Idaho,6968,11.22273249
Boundary County, Idaho,11323,18.01642674
Butte County, Idaho,2613,15.92039801
Caribou County, Idaho,6862,9.224715826
Gooding County, Idaho,15110,15.83057578
Ada County, Idaho,435117,11.60009836
Bannock County, Idaho,84113,17.17332636
Bear Lake County, Idaho,5942,14.35543588
Bingham County, Idaho,45369,13.01549516
Bonneville County, Idaho,110404,11.70156878
Camas County, Idaho,886,22.3476298
Canyon County, Idaho,207027,16.81519802
Clearwater County, Idaho,8533,12.28172976
Jefferson County, Idaho,27410,9.470995987
Latah County, Idaho,38697,20.62175362
Custer County, Idaho,4141,18.66698865
Lemhi County, Idaho,7755,16.8407479
Payette County, Idaho,22839,15.18455274
Benewah County, Idaho,9050,15.66850829
Bonner County, Idaho,41855,13.74268307
Clark County, Idaho,1055,24.17061611
Elmore County, Idaho,26232,14.42131747
Fremont County, Idaho,12889,11.31197145
Madison County, Idaho,38241,31.31194268
